DEC,HEX,Alpha Tag,Mode,Description,Tag,Group,Priority,Stream List
3613,e1d,SE VFD Tac 1,D,Southeast Volunteer Fire Department - Tactical 1,Fire-Tac,Harris County Volunteer Fire/EMS,1,
168,0a8,Seabrk City1,D,City 1,Interop,Harris County - Seabrook,1,
1297,511,Seabrk PD 1,D,Police Ch. 1,Law Dispatch,Harris County - Seabrook,1,
1299,513,Seabrk PD 2,D,Police Ch. 2,Law Tac,Harris County - Seabrook,1,
1303,517,Seabrk PD SE,D,Police Special Event,Law Tac,Harris County - Seabrook,1,
1301,515,SeabrkPD CID,DE,Police CID,Law Tac,Harris County - Seabrook,1,
1341,53d,SeabrkPD3Sec,DE,Police Ch. 3 Secure,Law Tac,Harris County - Seabrook,1,
166,0a6,Seabrook EMS,D,EMS,EMS Dispatch,Harris County - Seabrook,1,
1347,543,Seabrook PW,D,Public Works,Public Works,Harris County - Seabrook,1,
1343,53f,SeabrookFD 1,D,Fire Ch. 1,Fire Dispatch,Harris County - Seabrook,1,
1345,541,SeabrookFD 2,D,Fire Ch. 2,Fire-Tac,Harris County - Seabrook,1,
2368,940,Sealy ISD PD,D,Sealy Independent School District Police,Law Dispatch,Harris County - Schools,1,
4055,fd7,Sealy PD Ch 2,DE,Sealy Police 2,Law Tac,Austin County,1,
164,0a4,Sealy PD Ch 3,DE,Sealy Police Ch. 3,Law Tac,Austin County,1,
2303,8ff,Sealy PD Disp,D,Sealy Police Primary,Law Dispatch,Austin County,1,
2409,969,Sealy PD Supv,DE,Sealy Police Supervisors,Law Talk,Austin County,1,
2304,900,Sealy PD Tac,DE,Sealy Police Tactical 1,Law Tac,Austin County,1,
3415,d57,SF Fire Admin,D,Fire Administration,Fire-Talk,Galveston County - Santa Fe,1,
3411,d53,SF Fire Disp,D,Fire Dispatch,Fire Dispatch,Galveston County - Santa Fe,1,
3413,d55,SF Fire Tac 1,D,Fire Tactical 1,Fire-Tac,Galveston County - Santa Fe,1,
3563,deb,SFISD Buses1,D,Santa Fe ISD Buses 1,Schools,Galveston County - Schools,1,
3565,ded,SFISD Buses2,D,Santa Fe ISD Buses 2,Schools,Galveston County - Schools,1,
3557,de5,SFISD Maint1,D,Santa Fe ISD Maintenance 1,Schools,Galveston County - Schools,1,
3559,de7,SFISD Maint2,D,Santa Fe ISD Maintenance 2,Schools,Galveston County - Schools,1,
3561,de9,SFISD Maint3,D,Santa Fe ISD Maintenance 3,Schools,Galveston County - Schools,1,
3333,d05,SFISD PD 1,D,Santa Fe ISD Police 1,Law Dispatch,Galveston County - Schools,1,
3334,d06,SFISD PD 2,D,Santa Fe ISD Police 2,Law Tac,Galveston County - Schools,1,
2847,b1f,SgrLnd EOC,D,Emergency Operations Center (EOC),Emergency Ops,Fort Bend County - Sugar Land,1,
2729,aa9,SgrLnd FD 1,D,Fire 1 Dispatch,Fire Dispatch,Fort Bend County - Sugar Land,1,
2731,aab,SgrLnd FD 2,D,Fire 2,Fire-Talk,Fort Bend County - Sugar Land,1,
